date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,sold
2024-09-30 16:29:14,831,6306,1563,863,1308,2588,7474,261,57,-1168
2024-09-30 04:48:21,802,4554,876,889,1368,2466,6449,-4,49,-1894
2024-09-29 15:56:21,764,5503,1062,847,1373,873,5044,57,50,458
2024-09-29 03:55:29,754,4715,1255,890,1366,359,4673,-3,51,42
2024-09-28 14:47:25,724,4847,926,774,1374,418,5226,955,51,-379
2024-09-28 02:26:12,710,5102,946,901,1363,1300,5270,-2,50,-168
2024-09-27 12:30:30,716,5291,1314,771,1351,634,5927,1082,55,-635
2024-09-26 23:55:25,772,5504,1234,1307,1366,1295,6035,-3,56,-531
2024-09-26 10:16:05,906,5841,1312,1022,1342,370,5726,712,56,115
2024-09-25 22:08:45,890,6370,1723,1231,1356,870,6126,-4,52,244
2024-09-25 08:24:52,931,6397,1592,1359,1362,78,5518,163,53,879
2024-09-24 18:38:30,950,6578,1819,1337,1362,362,5924,26,59,653
2024-09-24 06:47:15,883,5806,1418,1304,1362,51,5071,-3,54,735
2024-09-23 17:08:10,725,5820,1355,1220,1317,79,5357,603,55,463
2024-09-23 05:00:03,600,4550,1278,1252,1362,824,5361,-4,44,-810
2024-09-22 14:39:32,401,3904,733,432,1314,176,3924,820,46,-20
2024-09-22 01:56:20,479,4527,1182,484,1364,323,3876,-3,45,651
2024-09-21 11:25:08,599,4370,1255,711,1361,532,5629,1121,48,-1258
2024-09-20 23:25:10,752,5506,1568,1246,1362,1056,6036,-3,51,-529
2024-09-20 10:38:19,687,5405,1334,1169,1356,1671,7070,800,51,-1664
2024-09-19 22:39:33,686,5886,1639,1316,1357,1820,6861,-4,45,-974
2024-09-19 09:00:22,739,6372,1659,1408,1344,1177,6750,363,44,-377
2024-09-18 20:35:13,740,7112,1797,1420,1351,708,6089,-3,46,1023
2024-09-18 05:59:49,743,5291,1145,1316,1354,728,5331,-3,44,-40
2024-09-17 16:26:03,667,5724,1141,1237,1359,529,5589,602,52,134
2024-09-17 03:00:17,638,4884,941,1176,1357,836,4997,-3,50,-112
2024-09-16 14:09:29,667,5350,854,1037,1360,327,5210,908,54,140
2024-09-16 02:25:52,784,4432,841,1201,1362,553,4783,-3,43,-350
2024-09-15 12:29:30,770,4216,507,636,1353,70,4327,953,35,-110
2024-09-15 00:39:27,787,4754,1068,796,1346,1467,5506,-3,42,-751
2024-09-14 11:40:53,759,5533,1022,729,1298,1434,5512,226,40,21
2024-09-13 23:47:25,825,5550,821,1217,1354,1770,6033,-3,46,-482
2024-09-13 11:25:23,829,5851,1116,1174,1341,431,5772,824,44,78
2024-09-12 23:39:24,820,5622,1195,1205,1348,84,4696,-3,42,926
2024-09-12 05:16:45,792,5153,1052,1090,1347,299,4624,1,39,529
2024-09-11 16:17:03,788,6436,1213,1061,1338,497,5114,177,37,1322
2024-09-11 04:26:45,793,5176,893,1079,1345,149,4302,-3,43,873
2024-09-10 14:59:54,784,6392,1280,1001,1309,301,5130,392,41,1261
2024-09-10 02:55:44,741,5053,1007,1063,1349,125,4326,-3,41,727
2024-09-09 13:47:52,635,5522,957,1003,1322,77,5155,1116,42,366
2024-09-09 01:26:18,702,4614,1015,1144,1340,101,4342,-3,40,272
2024-09-08 12:00:11,590,3821,523,534,1341,1043,5222,1152,37,-1400
2024-09-08 00:17:17,705,5142,1052,1137,1333,1214,5500,-3,40,-358
2024-09-07 11:47:28,652,4750,615,772,1330,1656,6153,1076,48,-1402
2024-09-06 23:59:31,800,5578,1081,1106,1326,1143,5510,-2,54,67
2024-09-06 09:18:37,947,6270,1049,1059,1276,626,5559,539,55,710
2024-09-05 18:59:49,949,6907,1423,1062,1321,876,5786,96,53,1120
2024-09-05 06:38:50,879,5642,1078,1062,1341,779,5193,-1,53,448
2024-09-04 18:29:31,953,6974,1406,1036,1320,1196,6174,205,55,799
2024-09-04 05:29:26,899,5315,936,1037,1335,826,5093,-2,53,221
2024-09-03 16:08:47,751,6377,1218,993,1335,277,5475,848,50,902
2024-09-03 04:25:30,808,5127,1025,1071,1333,459,4746,-3,51,380
2024-09-02 16:38:33,757,6314,1227,956,1317,56,5131,767,48,1183
2024-09-02 04:55:46,772,4796,962,1053,1332,576,4751,5,48,44
2024-09-01 16:48:39,755,5117,866,946,1323,387,4761,435,44,356
2024-09-01 05:00:31,825,4654,742,1030,1325,629,4599,-3,48,55
2024-08-31 16:17:24,826,5531,1096,937,1304,1028,5787,546,47,-256
2024-08-31 04:18:21,785,5049,903,1008,1333,1361,5448,2,53,-398
2024-08-30 09:59:39,898,6537,1390,1115,1301,584,5731,385,55,805
2024-08-29 22:07:43,922,6674,1215,982,1323,784,5286,-3,54,1388
2024-08-29 09:08:38,837,6400,1019,1051,1295,962,5630,406,51,770
2024-08-28 20:56:25,1106,7545,2209,1325,685,645,6050,-2,55,1494
2024-08-28 08:30:23,978,6784,1233,1140,685,470,4670,100,54,2113
2024-08-27 18:25:49,856,6990,1705,1253,681,220,4920,150,52,2070
2024-08-27 05:09:37,771,5373,1122,1291,681,649,4572,-4,52,801
2024-08-26 15:59:40,782,6984,1913,1206,664,1144,6568,809,48,415
2024-08-26 02:59:17,634,4843,979,1225,1336,283,4503,-2,46,340
2024-08-25 13:55:32,685,4551,498,803,1331,640,5155,1155,44,-604
2024-08-25 02:08:48,744,4964,969,994,1333,501,4583,-3,40,380
2024-08-24 08:08:47,854,5361,1056,1216,1328,322,5063,237,49,297
2024-08-23 19:08:21,1075,7220,1491,1172,1317,160,5382,113,51,1837
2024-08-23 06:16:36,878,5491,1033,1206,1335,1217,5723,-2,52,-231
2024-08-22 17:08:21,813,6821,1126,1127,1322,562,5581,574,54,1240
2024-08-22 04:08:35,772,5283,1071,1231,1327,168,4617,-3,49,665
2024-08-21 15:16:47,751,6382,1182,1091,1295,185,5550,996,46,832
2024-08-21 03:29:38,793,5269,1059,1248,1324,-8,4465,-3,51,803
2024-08-20 14:25:23,805,6564,1203,1147,1320,67,5504,913,46,1060
2024-08-20 02:39:42,806,5355,1036,1259,1325,12,4485,-3,50,869
2024-08-19 12:59:40,521,6190,1110,1022,1260,290,5481,1231,44,709
2024-08-19 01:16:31,708,5077,1036,1210,1340,81,4421,-3,41,656
2024-08-18 12:17:39,766,4757,727,1063,1342,197,5219,1082,39,-462
2024-08-18 00:29:33,824,5433,1136,1158,1341,329,4829,-3,43,603
2024-08-17 11:25:16,776,5316,664,1000,1343,248,5154,1078,41,162
2024-08-16 23:38:49,978,6043,1076,1198,1335,976,5608,-2,45,435
2024-08-16 11:26:36,868,5626,1037,1121,1309,435,5911,1084,41,-285
2024-08-15 23:38:43,999,5900,1088,1196,1334,1072,5733,-3,43,167
2024-08-15 11:38:44,904,4996,1037,1004,1336,409,5876,1140,43,-879
2024-08-14 23:56:21,958,6143,1057,1152,1323,891,5431,-2,51,711
2024-08-14 11:55:30,897,6119,1055,1067,1293,547,6101,1193,47,17
2024-08-14 00:08:47,900,6029,1160,1245,1332,502,5183,-2,45,845
2024-08-13 11:59:38,767,6012,1030,1036,1313,94,5452,1158,51,560
2024-08-13 00:17:43,925,5828,1115,1251,1315,874,5532,-3,53,295
2024-08-12 11:59:36,679,5829,866,1059,1315,115,5254,1169,49,575
2024-08-12 00:16:21,737,5310,1225,1326,1337,199,4870,-3,46,439
2024-08-11 11:09:24,631,4330,469,817,1346,137,4490,1041,47,-160
2024-08-10 23:25:27,771,5788,1170,1237,1330,524,5081,-3,51,706
2024-08-10 10:48:26,635,4991,642,694,1329,357,4623,912,50,368
2024-08-09 22:59:34,791,6151,1333,1279,1326,158,4943,-2,55,1208
2024-08-09 10:16:32,762,6342,1306,1232,1275,-6,5180,553,54,1162
2024-08-08 22:30:28,754,6640,1456,1330,1308,214,5120,-2,59,1519
2024-08-08 08:39:22,656,5923,993,1218,1337,-11,4757,504,53,1165
2024-08-07 19:26:31,777,6670,1504,1252,1322,28,5057,113,53,1612
