id,children_early_education,high_school_graduates,teachers
2,38766,4736,6998
3,5767,783,1014
5,2926,227,539
6,741,68,152
7,1878,245,559
8,4500,362,892
9,2071,132,430
10,2193,122,428
11,3170,300,601
12,1686,111,338
13,3028,181,530
14,1210,69,328
15,2889,256,572
16,1301,140,229
17,2326,220,581
18,2841,194,603
19,2563,207,687
20,1940,94,434
21,3534,224,736
22,4472,329,719
23,1458,72,347
24,1868,151,440
25,1103,94,366
26,4255,260,824
27,1934,141,488
28,1566,117,335
29,3073,205,665
30,2783,182,621
31,3498,303,605
32,1346,106,310
33,2418,93,467
34,1323,162,374
35,2136,80,463
36,4468,362,882
37,6561,536,1319
