id,divorces,marriages,salary
2,565,4023,148843
3,464,627,109089
5,561,682,97228
6,25,102,92202
7,167,289,80499
8,280,486,104500
9,73,247,90477
10,191,295,93459
11,332,352,93712
12,147,221,91119
13,210,337,102589
14,138,156,88645
15,185,316,92788
16,137,206,94375
17,196,329,88312
18,202,371,86819
19,199,326,92808
20,149,245,86514
21,273,455,97700
22,258,459,96978
23,83,212,94852
24,51,280,88676
25,111,199,86718
26,350,600,98957
27,247,313,86945
28,152,256,98204
29,199,360,91402
30,291,427,90148
31,209,430,98063
32,57 ,170,91752
33,231,322,87773
34,65 ,160,87362
35,132,305,87113
36,428,484,99178
37,315,688,87715
